year,area_title,occ_title,o_group,tot_emp,hourly_mean,annual_mean
2023,"Spokane-Spokane Valley, WA",Architecture and Engineering,major,"3,380",42.10,"87,570"
2023,"Walla Walla, WA",Architecture and Engineering,major,560,46.76,"97,250"
2023,"Wenatchee, WA",Architecture and Engineering,major,530,43.78,"91,060"
2023,"Yakima, WA",Architecture and Engineering,major,710,42.02,"87,390"
2023,"Bellingham, WA","Life, Physical, and Social Science",major,"1,000",38.97,"81,050"
2023,"Bremerton-Silverdale, WA","Life, Physical, and Social Science",major,"1,340",43.27,"90,000"
2023,"Kennewick-Richland, WA","Life, Physical, and Social Science",major,"3,420",51.06,"106,190"
2023,"Longview, WA","Life, Physical, and Social Science",major,370,35.12,"73,050"
2023,"Mount Vernon-Anacortes, WA","Life, Physical, and Social Science",major,540,36.59,"76,100"
2023,"Olympia-Tumwater, WA","Life, Physical, and Social Science",major,"2,730",39.06,"81,250"
2023,"Seattle-Tacoma-Bellevue, WA","Life, Physical, and Social Science",major,"25,650",46.67,"97,070"
2023,"Spokane-Spokane Valley, WA","Life, Physical, and Social Science",major,"2,100",36.60,"76,130"
2023,"Walla Walla, WA","Life, Physical, and Social Science",major,350,36.57,"76,060"
2023,"Wenatchee, WA","Life, Physical, and Social Science",major,650,34.39,"71,520"
2023,"Yakima, WA","Life, Physical, and Social Science",major,830,34.98,"72,760"
2023,"Bellingham, WA",Community and Social Service,major,"1,610",30.23,"62,890"
2023,"Bremerton-Silverdale, WA",Community and Social Service,major,"1,440",30.57,"63,590"
2023,"Kennewick-Richland, WA",Community and Social Service,major,"1,760",31.01,"64,510"
2023,"Longview, WA",Community and Social Service,major,850,29.93,"62,250"
2023,"Mount Vernon-Anacortes, WA",Community and Social Service,major,"1,050",29.87,"62,120"
2023,"Olympia-Tumwater, WA",Community and Social Service,major,"3,240",31.08,"64,650"
2023,"Seattle-Tacoma-Bellevue, WA",Community and Social Service,major,"32,480",32.04,"66,630"
2023,"Spokane-Spokane Valley, WA",Community and Social Service,major,"6,220",28.25,"58,750"
2023,"Walla Walla, WA",Community and Social Service,major,530,29.10,"60,520"
2023,"Wenatchee, WA",Community and Social Service,major,610,30.47,"63,380"
2023,"Yakima, WA",Community and Social Service,major,"2,290",28.42,"59,120"
2023,"Bellingham, WA",Legal,major,480,46.07,"95,830"
2023,"Bremerton-Silverdale, WA",Legal,major,440,51.22,"106,540"
2023,"Kennewick-Richland, WA",Legal,major,580,50.62,"105,290"
2023,"Longview, WA",Legal,major,120,51.04,"106,150"
2023,"Mount Vernon-Anacortes, WA",Legal,major,240,43.13,"89,700"
2023,"Olympia-Tumwater, WA",Legal,major,"1,410",46.30,"96,310"
2023,"Seattle-Tacoma-Bellevue, WA",Legal,major,"17,500",*,*
2023,"Spokane-Spokane Valley, WA",Legal,major,"1,700",47.78,"99,370"
2023,"Walla Walla, WA",Legal,major,100,44.85,"93,290"
2023,"Wenatchee, WA",Legal,major,200,46.39,"96,500"
2023,"Yakima, WA",Legal,major,440,45.76,"95,180"
2023,"Bellingham, WA",Educational Instruction and Library,major,"6,090",34.59,"71,950"
2023,"Bremerton-Silverdale, WA",Educational Instruction and Library,major,"5,470",35.35,"73,520"
2023,"Kennewick-Richland, WA",Educational Instruction and Library,major,"8,130",33.20,"69,060"
2023,"Longview, WA",Educational Instruction and Library,major,"2,490",30.52,"63,490"
2023,"Mount Vernon-Anacortes, WA",Educational Instruction and Library,major,"3,430",33.98,"70,670"
2023,"Olympia-Tumwater, WA",Educational Instruction and Library,major,"7,200",32.23,"67,030"
2023,"Seattle-Tacoma-Bellevue, WA",Educational Instruction and Library,major,"98,350",37.78,"78,590"
2023,"Spokane-Spokane Valley, WA",Educational Instruction and Library,major,"14,980",32.67,"67,960"
2023,"Walla Walla, WA",Educational Instruction and Library,major,"1,900",32.35,"67,280"
2023,"Wenatchee, WA",Educational Instruction and Library,major,"3,080",31.58,"65,690"
2023,"Yakima, WA",Educational Instruction and Library,major,"7,560",31.47,"65,460"
2023,"Bellingham, WA","Arts, Design, Entertainment, Sports, and Media",major,"1,030",28.41,"59,080"
2023,"Bremerton-Silverdale, WA","Arts, Design, Entertainment, Sports, and Media",major,930,30.38,"63,180"
2023,"Kennewick-Richland, WA","Arts, Design, Entertainment, Sports, and Media",major,"1,070",33.82,"70,340"
2023,"Longview, WA","Arts, Design, Entertainment, Sports, and Media",major,320,26.71,"55,550"
2023,"Mount Vernon-Anacortes, WA","Arts, Design, Entertainment, Sports, and Media",major,350,29.00,"60,320"
2023,"Olympia-Tumwater, WA","Arts, Design, Entertainment, Sports, and Media",major,"1,730",29.91,"62,200"
2023,"Seattle-Tacoma-Bellevue, WA","Arts, Design, Entertainment, Sports, and Media",major,"35,900",42.12,"87,620"
2023,"Spokane-Spokane Valley, WA","Arts, Design, Entertainment, Sports, and Media",major,"3,260",29.73,"61,840"
2023,"Walla Walla, WA","Arts, Design, Entertainment, Sports, and Media",major,360,27.12,"56,400"
2023,"Wenatchee, WA","Arts, Design, Entertainment, Sports, and Media",major,560,27.01,"56,180"
2023,"Yakima, WA","Arts, Design, Entertainment, Sports, and Media",major,740,28.41,"59,090"
2023,"Bellingham, WA",Healthcare Practitioners and Technical,major,"4,730",59.34,"123,430"
2023,"Bremerton-Silverdale, WA",Healthcare Practitioners and Technical,major,"4,160",58.75,"122,200"
2023,"Kennewick-Richland, WA",Healthcare Practitioners and Technical,major,"6,840",55.16,"114,740"
2023,"Longview, WA",Healthcare Practitioners and Technical,major,"2,000",54.58,"113,530"
2023,"Mount Vernon-Anacortes, WA",Healthcare Practitioners and Technical,major,"2,780",56.19,"116,860"
2023,"Olympia-Tumwater, WA",Healthcare Practitioners and Technical,major,"6,030",54.03,"112,370"
2023,"Seattle-Tacoma-Bellevue, WA",Healthcare Practitioners and Technical,major,"111,180",59.96,"124,720"
2023,"Spokane-Spokane Valley, WA",Healthcare Practitioners and Technical,major,"17,820",55.63,"115,700"
2023,"Walla Walla, WA",Healthcare Practitioners and Technical,major,"1,750",48.29,"100,440"
2023,"Wenatchee, WA",Healthcare Practitioners and Technical,major,"3,080",48.61,"101,100"
2023,"Yakima, WA",Healthcare Practitioners and Technical,major,"4,510",50.48,"104,990"
2023,"Bellingham, WA",Healthcare Support,major,"4,190",21.79,"45,310"
2023,"Bremerton-Silverdale, WA",Healthcare Support,major,"4,360",22.17,"46,120"
2023,"Kennewick-Richland, WA",Healthcare Support,major,"6,710",21.37,"44,450"
2023,"Longview, WA",Healthcare Support,major,"2,370",21.03,"43,740"
2023,"Mount Vernon-Anacortes, WA",Healthcare Support,major,"2,360",21.91,"45,580"
2023,"Olympia-Tumwater, WA",Healthcare Support,major,"5,620",21.64,"45,020"
2023,"Seattle-Tacoma-Bellevue, WA",Healthcare Support,major,"91,580",23.73,"49,360"
2023,"Spokane-Spokane Valley, WA",Healthcare Support,major,"16,210",20.81,"43,280"
2023,"Walla Walla, WA",Healthcare Support,major,"1,720",19.74,"41,060"
2023,"Wenatchee, WA",Healthcare Support,major,"2,290",21.46,"44,650"
2023,"Yakima, WA",Healthcare Support,major,"7,170",20.35,"42,330"
2023,"Bellingham, WA",Protective Service,major,"1,910",37.07,"77,110"
2023,"Bremerton-Silverdale, WA",Protective Service,major,"1,870",34.85,"72,490"
